author	institution name	Company|University
Atefeh Mashatan	Universidad Cooperativa de Colombia	University
Eleftheria Makri	Universidad de Medellín	University
Juan Gómez Ortega	Al-Ahliyya Amman University	University
M. A. Jiménez	Ramirez LLC	Company
Angelito Gabriel	Northern Alberta Institute of Technology	University
Mauro Montesano	University of Pannonia	University
Denise Ratasich	Ward, Andersen and Alexander	Company
Zhaoxing Li	University of Veterinary and Pharmaceutical Science	University
Hiralal M. Suryawanshi	Hicks-Murray	Company
Volodymyr Dziubak	Hubbard Ltd	Company
Young-Duk Seo	Hosei University	University
Cheng Cao	Kerr-Gray	Company
Periklis Chatzimisios	St. Louis University	University
Wenyan Lu	Pitts-Duncan	Company
Nhien-An Le-Khac	Wilson, Martinez and Saunders	Company
Vivek K. Pallipuram	Reyes-Smith	Company
Alireza Karimi	Queen's University	University
Sarah Mount	Wilcox-Williams	Company
Konstantinos P. Demestichas	University of Halifax, Birmingham Campus	University
Muhammad Shahwaiz Afaqui	Jones and Sons	Company
Sanaz Paran	Tver State Technical University	University
Limin Jiang	Torres-Foster	Company
Ana Torralba	Davis, Newton and Jimenez	Company
Saliha Loumi	Roberts, Bullock and Wood	Company
Lei Tian	Eastern Nazarene College	University
Hong-Nan Li	Gonzalez, Stephens and Rivera	Company
Wenhu Huang	Nelson-Fernandez	Company
Francesco Longo 0001	Warren Inc	Company
Abbas Gorji-Chakespari	Wright-Gaines	Company
Hina Abrar	Technical University of Kielce	University
Hisayuki Sasaki	Deutsche Sporthochschule Köln	University
Mei Yan	Lourdes College	University
Jae-Soo Cho	St. Francis College, Loretto	University
Steve DiPaola	Roberts-Curtis	Company
Aitor Etxeberria	Cummings-Rogers	Company
Carlos Rodriguez Guerrero	Atlanta College of Art	University
Hyeonsang Eom	Moscow State University of Technology (Stankin)	University
Tamer Ozyigit	Johnson and Sons	Company
Ajchara Phu-ang	Pham Ltd	Company
Hans-Günther Kruse	Hernandez-Farmer	Company
Wensheng Song	West LLC	Company
Mathieu Gratuze	Williams PLC	Company
Toshiaki Fujii	Thompson Group	Company
Thanh-Trung Pham	Brooks Institute of Photography	University
Pan Li 0001	Schwartz Ltd	Company
Zhe An	Stephenson Ltd	Company
Davide Romito	Kim PLC	Company
Haiming Shao	Knight Group	Company
Andrea Guidi	Ariel University Center of Samaria	University
Tore Undeland	Université de Guelma	University
Yuji Tasaka	Cooper-Allen	Company
David Espalin	Foley Ltd	Company
Souvik Basu	Yan Shan University	University
Adrián Fernández Gavela	Shahed University	University
Daru Pan	Johnson-Mack	Company
Yuliang Qin	Hunt Ltd	Company
José Antonio Álvarez-Bermejo	Maddox-Peters	Company
Giovanni Spagnuolo	Mahatma Gandhi University Meghalaya 	University
Fangfang Ma	Blankenship-Savage	Company
Jae-Bum Lee	Davis-Palmer	Company
Tatsuo Nakajima	Pädagogische Hochschule Weingarten	University
Seung Ho Hong	Nelson-Mitchell	Company
Xue-Zhi Li	Rasmussen College, Minnesota Campuses	University
Changzhi Li	Erskine College	University
André Desbiens	Universidad de Puerto Rico, Carolina	University
Mou-Fa Guo	Richardson-Velasquez	Company
Natalia Murinova	National Pedagogical University M. Dragomanov 	University
Biyin Wang	Military academy of Lithuania	University
Antoni Baldi	Gauhati University	University
Jin Woo Song	Pitts-Schmidt	Company
Thulio Guilherme Silva De Amorim	Turner, Weiss and Davis	Company
Haiyang Che	Ryan-Robinson	Company
Francesco Ciampa	Philosophisch-Theologische Hochschule Münster	University
Wenli Du	Tennessee State University	University
Remco Chang	Foley Ltd	Company
Floris Ernst	Morgan, Robinson and Chapman	Company
Wenbin Cai	Morris Inc	Company
Mohammad S. Sharawi	Cooper-Allen	Company
Shachak Peeri	Williams PLC	Company
Martin Strecker	Perez PLC	Company
Wolfgang Ketter	University of Teesside	University
Xufeng Zhao	University of the Sciences in Philadelphia	University
Nguyen T. Nguyen	Miyagi University	University
Adel Guitouni	Fachhochschule Trier, Hochschule für Technik, Wirtschaft und Gestaltung	University
Belygona Barare	Tallinn University of Technology	University
Dani Strickland	Harrington-Travis	Company
Dariusz Naploszek	Wang, Morgan and Dougherty	Company
Adnan Aijaz	Robinson and Sons	Company
