Three questions of Bertram on locally maximal sum-free sets.,Appl. Algebra Eng. Commun. Comput.
On the Cipolla-Lehmer type algorithms in finite fields.,Appl. Algebra Eng. Commun. Comput.
Quantum codes from cyclic codes over the ring 𝔽q + v1𝔽q + ⋯ + vr 𝔽q.,Appl. Algebra Eng. Commun. Comput.
Computing with D-algebraic power series.,Appl. Algebra Eng. Commun. Comput.
On the near prime-order MNT curves.,Appl. Algebra Eng. Commun. Comput.
Several classes of binary linear codes and their weight enumerators.,Appl. Algebra Eng. Commun. Comput.
Orthogonal matrix and its application in Bloom&apos;s threshold scheme.,Appl. Algebra Eng. Commun. Comput.
Several classes of linear codes and their weight distributions.,Appl. Algebra Eng. Commun. Comput.
Two classes of optimal frequency-hopping sequences with new parameters.,Appl. Algebra Eng. Commun. Comput.
Four families of minimal binary linear codes with wmin/wmax ≤ 1/2.,Appl. Algebra Eng. Commun. Comput.
Directed path spaces via discrete vector fields.,Appl. Algebra Eng. Commun. Comput.
A Non-Intrusive Heuristic for Energy Messaging Intervention Modeled Using a Novel Agent-Based Approach.,IEEE Access
Low-Order Space Harmonic Modeling of Asymmetrical Six-Phase Induction Machines.,IEEE Access
RFI Cancellation for an Array Radio Astronomy System With Receiver Nonlinearity.,IEEE Access
Performance Analysis of MICS-Based RF Wireless Power Transfer System for Implantable Medical Devices.,IEEE Access
Fog Load Balancing for Massive Machine Type Communications - A Game and Transport Theoretic Approach.,IEEE Access
Discrete-Time Adaptive Control for Systems With Input Time-Delay and Non-Sector Bounded Nonlinear Functions.,IEEE Access
Using Beamforming for Dense Frequency Reuse in 5G.,IEEE Access
Gale-Shapley Matching Game Selection - A Framework for User Satisfaction.,IEEE Access
A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era.,IEEE Access
Improved Dynamic Multi-Party Quantum Private Comparison for Next-Generation Mobile Network.,IEEE Access
Native Language Identification in Very Short Utterances Using Bidirectional Long Short-Term Memory Network.,IEEE Access
A Multivariate Homogeneously Weighted Moving Average Control Chart.,IEEE Access
Internet of Things - A Comprehensive Study of Security Issues and Defense Mechanisms.,IEEE Access
State-of-the-Art Clustering Schemes in Mobile Ad Hoc Networks - Objectives, Challenges, and Future Directions.,IEEE Access
State-of-Art in Nano-Based Dielectric Oil - A Review.,IEEE Access
State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System.,IEEE Access
Aspects of Quality in Internet of Things (IoT) Solutions - A Systematic Mapping Study.,IEEE Access
Primitive Polynomials for Iterative Recursive Soft Sequential Acquisition of Concatenated Sequences.,IEEE Access
Incision Sensor Using Conductive Tape for Cricothyrotomy Training Simulation With Quantitative Feedback.,IEEE Access
Improving Urdu Recognition Using Character-Based Artistic Features of Nastalique Calligraphy.,IEEE Access
Lightweight and Low-Loss 3-D Printed Millimeter-Wave Bandpass Filter Based on Gap-Waveguide.,IEEE Access
Spectrum Sharing in Multi-Tenant 5G Cellular Networks - Modeling and Planning.,IEEE Access
Secrecy Performance of Decode-and-Forward Based Hybrid RF/VLC Relaying Systems.,IEEE Access
Comprehensive Review of the Development of the Harmony Search Algorithm and its Applications.,IEEE Access
A Model of Factors Affecting Cyber Bullying Behaviors Among University Students.,IEEE Access
Reliable Middleware for Wireless Sensor-Actuator Networks.,IEEE Access
Network Experience Scheduling and Routing Approach for Big Data Transmission in the Internet of Things.,IEEE Access
Finite-Time Lag Synchronization of Uncertain Complex Dynamical Networks With Disturbances via Sliding Mode Control.,IEEE Access
Credibility in Online Social Networks - A Survey.,IEEE Access
Data-Driven Dynamic Active Node Selection for Event Localization in IoT Applications - A Case Study of Radiation Localization.,IEEE Access
Efficient Face Recognition Using Regularized Adaptive Non-Local Sparse Coding.,IEEE Access
Hybrid Stochastic Exploration Using Grey Wolf Optimizer and Coordinated Multi-Robot Exploration Algorithms.,IEEE Access
Group L1/2 Regularization for Pruning Hidden Layer Nodes of Feedforward Neural Networks.,IEEE Access
Analytical Approach of Director Tilting in Nematic Liquid Crystals for Electronically Tunable Devices.,IEEE Access
Queuing Delay Model for Video Transmission Over Multi-Channel Underwater Wireless Optical Networks.,IEEE Access
A New Frequency Control Strategy in an Islanded Microgrid Using Virtual Inertia Control-Based Coefficient Diagram Method.,IEEE Access
Deep Reinforcement Learning Paradigm for Performance Optimization of Channel Observation-Based MAC Protocols in Dense WLANs.,IEEE Access
A Novel Nested Q-Learning Method to Tackle Time-Constrained Competitive Influence Maximization.,IEEE Access
Motion Artifact Detection and Reduction in Bed-Based Ballistocardiogram.,IEEE Access
Smart Information Retrieval - Domain Knowledge Centric Optimization Approach.,IEEE Access
Evolutionary Deep Learning-Based Energy Consumption Prediction for Buildings.,IEEE Access
Arabic Word Segmentation With Long Short-Term Memory Neural Networks and Word Embedding.,IEEE Access
Exact Coupling Method for Stratonovich Stochastic Differential Equation Using Non-Degeneracy for the Diffusion.,IEEE Access
A Survey of Super-Resolution in Iris Biometrics With Evaluation of Dictionary-Learning.,IEEE Access
On the Development of a Novel Mixed Embroidered-Woven Slot Antenna for Wireless Applications.,IEEE Access
From Threads to Smart Textile - Parametric Characterization and Electromagnetic Analysis of Woven Structures.,IEEE Access
Registration Center Based User Authentication Scheme for Smart E-Governance Applications in Smart Cities.,IEEE Access
A Game-Theoretical Modelling Approach for Enhancing the Physical Layer Security of Non-Orthogonal Multiple Access System.,IEEE Access
Null-Steering Beamforming for Enhancing the Physical Layer Security of Non-Orthogonal Multiple Access System.,IEEE Access
Impact of Two-Way Communication of Traffic Light Signal-to-Vehicle on the Electric Vehicle State of Charge.,IEEE Access
Interactive Data Exploration of Distributed Raw Files - A Systematic Mapping Study.,IEEE Access
Improving Multipath Routing of TCP Flows by Network Exploration.,IEEE Access
A Family of Scalable Non-Isolated Interleaved DC-DC Boost Converters With Voltage Multiplier Cells.,IEEE Access
Cognitive Smart Healthcare for Pathology Detection and Monitoring.,IEEE Access
Advanced Fault Tolerant Air-Fuel Ratio Control of Internal Combustion Gas Engine for Sensor and Actuator Faults.,IEEE Access
APA - Adaptive Pose Alignment for Pose-Invariant Face Recognition.,IEEE Access
A Novel Fuzzy Approach for Combining Uncertain Conflict Evidences in the Dempster-Shafer Theory.,IEEE Access
Wireless Control of Robotic Artificial Hand Using Myoelectric Signal Based on Wideband Human Body Communication.,IEEE Access
Deployment of IoV for Smart Cities - Applications, Architecture, and Challenges.,IEEE Access
