:START_ID(Article)	:END_ID(Articles)
5551	13677
17402	1989
11581	10258
9124	13067
10583	13353
14134	5741
16340	2913
1860	18578
1397	19630
2118	1596
18294	14058
8591	3352
2910	17715
11576	19303
2000	3850
3249	10093
1950	11036
8415	17866
6668	17193
12448	6981
12313	1513
6558	1207
19512	935
6574	11258
10521	5476
3843	9315
10166	11212
8872	16091
1932	4003
4233	7808
14472	8162
8524	1021
16411	10149
7061	7456
2295	17893
1729	2201
4967	9122
1717	10484
1523	15203
19629	6570
11494	19500
3967	9821
7282	19914
17185	12037
5376	2217
7458	2136
19676	4623
12526	11800
16993	13069
9973	12834
17808	12259
8252	13034
12277	3412
1732	17863
15915	17548
15153	14102
2859	13785
7389	15992
18068	10655
1070	14531
8824	4569
9382	8540
11695	4096
8944	9694
4494	6629
5933	14529
14937	9060
12328	15860
16473	7276
9831	19687
5916	14874
4916	4530
16423	9559
10992	3136
16172	3996
11213	9874
5249	5852
2160	6997
8911	4462
18278	3098
16705	9785
17855	7825
1978	1268
16396	17442
8609	7168
10761	10213
9923	5765
4950	11610
18100	9852
2082	16092
1902	681
17110	8798
12795	10928
16493	13867
12603	16383
8865	3463
3186	3381
14257	18343
11836	374
14037	2042
9882	14028
12798	15225
19373	2155
6722	6012
735	16443
15839	15809
8260	8393
12954	18844
4520	14565
16384	11899
3329	10550
14357	3382
6302	12387
3442	2290
7728	12258
6184	12449
11684	12987
2734	17201
14758	11944
10393	6307
17643	18974
16419	3228
6735	504
4552	4005
9439	10045
16012	18552
17382	2582
4549	15052
17113	3657
9086	14026
7517	14186
7096	19708
16260	7408
17693	11068
9480	10310
6824	7251
14828	16843
11482	4319
5886	9652
16284	3557
18547	13577
1253	5387
14788	10301
7164	3080
15433	10605
4514	3060
4056	12036
855	16208
2050	19833
15751	5717
11809	16894
18010	18230
18663	14619
2321	4284
1292	2506
11441	9662
260	5238
3236	19593
11	16173
2830	15842
13489	9234
17074	9437
1425	17201
7546	1880
3906	704
8114	12972
16866	11426
15942	10435
18526	8362
6650	15028
7039	10729
16215	14988
15232	15816
7014	7110
14749	18221
15082	13887
6040	8136
12900	4563
10311	13177
9618	14870
17886	18522
18332	18067
14093	18360
784	14069
18986	2324
1834	5534
1798	920
2105	10608
1336	19770
6503	12618
17042	8794
14347	16014
15430	18868
17882	12
18407	5531
5405	4895
8052	3906
19139	4615
8620	3460
10492	7297
8831	9714
11568	12705
2642	3625
13653	3519
14435	12106
5036	18477
6984	11346
5342	1601
2597	8880
6576	3271
96	15563
11328	11696
4198	13666
2441	11991
19649	2185
17363	9834
5864	12807
18566	8862
2968	9172
15818	19851
17820	8617
18306	9074
2117	11073
4486	15933
1017	4838
10142	17102
10367	9865
1430	10747
19839	266
19062	9972
14054	351
17728	13227
7130	10416
14014	1676
14157	3590
9840	14305
2360	4485
6025	13896
19732	12669
13053	9086
3049	2625
10227	14641
12237	2503
4023	19653
3995	15465
18121	11905
17101	2998
9453	8165
4526	17101
12679	17480
18411	4616
6658	11520
9014	17153
4792	8245
15396	17958
2050	7099
9761	221
4322	11238
14491	2310
9294	8787
5194	8444
15464	15933
8322	16263
16843	12731
19138	16197
15292	2933
9720	16454
9672	9535
16062	17424
3095	17522
5437	947
12183	6649
5981	14906
17268	6998
16034	11883
19436	3016
610	16015
3952	5750
5042	16451
6298	4433
18647	8503
962	12935
1907	17029
14604	3018
4579	8019
1044	6019
19381	10887
15385	11485
4210	3363
10844	18041
1256	13865
10919	15113
1599	5329
18762	8685
16093	1024
17535	14284
8963	14995
6211	15952
6867	4647
5446	65
270	12038
18504	4081
794	3475
4961	10276
444	3233
11505	16407
3666	5954
179	15646
15005	19807
13007	15364
12685	12949
2464	2161
9839	1400
18565	6141
2305	9561
1682	16262
3827	5005
1319	7754
16273	13317
2692	12198
1858	2820
12998	8854
2626	9217
2875	2673
2126	4039
17412	9404
5522	5786
19431	3369
9247	17122
15088	8156
11410	6498
13334	16302
2912	8394
16614	7789
4585	3254
1461	2957
10084	224
9235	9428
15296	3151
16399	17550
1923	18558
7554	19872
8992	4168
7238	18789
6732	18974
11067	1172
9157	8104
4409	2918
12896	3949
9751	10425
18531	11539
14967	18871
11962	15344
7639	12967
1458	5495
4909	4501
4914	18578
103	15075
1006	2639
19709	8169
8091	16494
16043	19818
18687	7362
16523	8458
8151	18398
16615	8359
13165	17321
13908	18386
14885	7395
18856	9215
9597	7235
916	4978
19448	6828
18234	8961
10004	6676
8101	12886
3951	12049
4920	2589
4974	5999
373	14299
2449	6237
17451	1471
3904	5015
19546	14124
9012	18239
9483	6837
12678	6969
12951	6702
15309	16436
5086	8017
609	6304
17373	14134
18470	5400
6365	10142
458	16962
17311	10619
1555	3546
4342	10548
10135	14174
17574	4824
14232	18264
15683	12010
18883	1186
7285	8570
18945	3720
18100	17782
2043	17784
12032	7132
10493	19449
3011	11397
12737	15398
10720	2483
9320	569
5847	10273
7508	15765
9098	10468
790	6507
10509	10060
15113	2963
18891	7556
2617	8101
7057	7052
9028	6795
16433	10033
19001	3710
7319	17197
5035	2543
18476	8511
8847	2000
4372	3294
11881	3711
17116	10209
13364	16477
11981	7613
13387	7755
7568	17939
16810	3766
14126	5451
17461	10697
305	12401
8710	12577
19571	14445
10736	16778
3030	6496
4621	16339
3016	654
13252	14009
11967	15691
5239	8517
6504	13471
4047	12719
13363	10297
8896	6872
7030	10159
12052	16085
6652	17614
4963	1318
10457	12469
308	13576
4021	7908
10538	5157
19429	10002
8724	4347
13830	3179
14651	10183
11395	16215
9604	18853
3126	16827
15164	9623
13884	5082
9613	4631
11504	2373
13579	9482
11011	5990
8366	14813
9939	3211
4370	11128
1474	14193
11076	8516
1626	3953
5070	16066
12985	14151
15602	15853
17172	11281
18043	14076
3571	16378
1292	7251
3144	16117
2448	19614
18291	12713
17617	11865
2623	8813
14466	735
17308	17590
9714	7943
534	15358
11666	300
2199	12624
15657	11928
9432	12714
246	11285
3850	2066
4206	14502
10683	10203
6014	2537
10726	3749
13474	6029
16388	15582
9124	13240
14371	19372
905	15366
950	6484
9025	5433
19193	10414
10390	10142
11631	4411
11835	5114
13275	4029
17261	6214
1824	14192
1827	1778
3973	14504
18196	13217
13894	10462
9862	12671
4303	5661
5597	7865
9780	2409
13086	6380
1070	3899
13821	3221
5372	16985
3164	4026
17552	8523
15963	16909
381	2082
19203	623
16397	819
16585	2184
9170	1754
14923	18654
17573	10742
13772	15780
14678	6484
7429	14914
8651	10610
4001	14076
16845	6884
8205	9561
3126	12761
18875	5013
4410	2827
8600	10862
8775	2800
18934	9533
11381	19906
17558	1240
24	8910
9986	7225
16166	1767
11057	9670
4724	2245
2484	9547
415	16748
10134	11150
19642	19590
6891	5837
11475	12077
11647	10723
2019	14401
4020	1713
7639	956
13317	3969
1656	2334
15899	11938
926	4332
6223	5842
492	6454
14995	16569
428	13662
14186	8827
14343	6270
6027	16546
10892	6957
5148	1739
3216	1553
16252	12903
1955	15815
12992	9021
3716	15885
5467	8563
6295	4636
935	2158
8730	1659
1816	14764
7581	18352
13569	7875
2062	2377
7179	8519
1674	9159
7011	3632
10612	9031
6477	18433
16626	14377
5407	1031
5517	4090
6581	6629
5559	14865
5531	4287
10492	3050
6027	19802
19698	6882
12310	13669
16723	10488
12241	18574
10375	1867
2217	8884
16334	11671
10382	18743
18579	4955
229	5606
16123	19142
4986	1870
15986	11739
18244	13401
1399	9863
15020	15470
10586	16450
18379	17850
16561	19611
9760	10431
12382	1368
18329	7085
9152	8291
15669	17822
14777	15204
8084	11174
644	17620
10349	714
3406	16401
8218	28
7672	17932
8871	19926
14733	18642
6800	9716
14721	10162
6060	8055
17120	402
3469	10420
13237	3817
6405	16700
7684	5206
13145	16152
14142	11929
2545	5841
5478	4511
16322	16806
3447	2263
16524	10560
19662	15847
9690	11143
2655	7461
17945	7191
8982	19380
4179	17946
16391	12793
9556	11091
15497	2226
19319	11204
12821	16784
16373	8956
9416	14753
2694	11608
3235	17814
5144	3741
14024	13242
17808	18156
12810	13894
12713	8431
16043	8247
14113	6295
5697	3974
257	5714
3006	4017
19020	16375
2636	5408
9103	3164
2271	13029
14301	17098
17984	15428
5431	9723
8202	9097
18546	6364
4491	12462
12027	13915
141	15935
1556	6553
11133	14191
1409	14760
18256	12498
4953	13187
9491	14868
17102	3111
19579	18755
8663	10143
13916	18589
144	7262
13022	11935
17070	7229
10607	7968
18148	18417
13876	2843
2700	1095
6466	3835
11128	7250
15285	10351
3856	19593
13328	18156
3014	2773
1196	7806
18129	4028
10236	15851
11556	10980
4802	15533
17807	16261
8057	1686
18654	13393
11009	11981
15889	8766
14351	10615
10567	6964
16964	19123
4549	2368
9706	14214
2348	11320
2235	15520
2525	17165
10165	16903
