:START_ID(Article);:END_ID(Keyword)
6670;data
3347;data modeling
2563;indexing
14757;big data
8829;secure computer system
9100;ROM
11041;model simple security condition
8222;data modeling
11964;asterisk-property
18728;indexing
18393;data management
4821;processing
2305;data storage
13375;data querying
8480;Software
3238;Software
2066;processing
19073;indexing
12062;security
13983;indexing
6977;model simple security condition
13540;processing
6793;RAM
12666;secure computer system
3091;Software
13590;big data
902;data querying
6581;big data
18763;processing
13920;big data
82;RAM
16008;data
18690;data
17716;indexing
5492;secure computer system
17203;data querying
7822;security
8119;big data
3269;security policy
5481;data modeling
15850;processing
7161;data management
5206;asterisk-property
19480;indexing
10128;data modeling
1754;model simple security condition
9734;asterisk-property
3283;model simple security condition
12835;indexing
13611;data storage
1698;TCP/IP
2074;TCP/IP
7434;ROM
18420;data management
17474;data management
11333;RAM
5493;security
19812;data modeling
8170;asterisk-property
19854;data querying
6846;security policy
139;ROM
15939;data modeling
8764;star property
4259;data
10443;TCP/IP
14101;data management
14657;data querying
9929;data modeling
4168;processing
4097;data modeling
6547;TCP/IP
3563;asterisk-property
3890;security policy
11447;big data
8169;data querying
7479;big data
19477;data
15598;data querying
1918;trusted subject
17480;data querying
3171;processing
7658;Hardware
8814;indexing
10708;RAM
1639;indexing
6182;indexing
2081;asterisk-property
7830;ROM
9139;data modeling
11972;big data
11159;trusted subject
9392;data management
18787;big data
9954;indexing
2646;security
1179;indexing
10894;security policy
13394;big data
16306;data modeling
9016;big data
2278;big data
7014;Hardware
3633;ROM
12254;processing
8731;security policy
6487;data management
4905;data
9324;asterisk-property
306;RAM
14719;data management
12082;data
12203;Software
2616;indexing
1455;processing
3614;data management
1821;Software
8558;star property
8700;data management
8865;ROM
3717;TCP/IP
17758;processing
19767;indexing
7425;Software
4881;trusted subject
8154;data
8610;security
9392;processing
16266;processing
2344;ROM
18084;indexing
11432;trusted subject
7555;star property
8101;security policy
18946;data querying
2535;security
1949;model simple security condition
9170;star property
17804;processing
15575;big data
15537;data modeling
2860;data management
17098;data storage
12205;data querying
8232;data modeling
9299;Software
1507;indexing
10959;trusted subject
3880;RAM
7067;secure computer system
11126;processing
17187;data
6669;data querying
7543;RAM
8715;security
12675;processing
8037;big data
15873;big data
6630;processing
6495;TCP/IP
11607;data modeling
13495;data storage
5629;model simple security condition
4430;Software
11849;asterisk-property
8963;trusted subject
4417;mathematical model
9022;security policy
18021;data modeling
7809;ROM
5405;data
18207;data
14844;processing
8899;data modeling
9417;RAM
12574;data storage
14020;big data
15026;data modeling
2926;security
1640;data modeling
8629;asterisk-property
11363;secure computer system
19895;processing
507;data
12717;data modeling
16199;data storage
11641;TCP/IP
13146;data modeling
19041;data management
15356;data
1791;security
8873;model simple security condition
4244;data modeling
12119;Hardware
10512;ROM
10403;data querying
18456;data
13732;data management
5734;big data
6054;indexing
6156;trusted subject
4150;secure computer system
13343;data querying
12301;security policy
11270;data
12220;TCP/IP
7781;mathematical model
15398;data querying
1300;secure computer system
882;big data
1871;RAM
1123;asterisk-property
12097;data storage
9044;secure computer system
9857;data modeling
17100;data querying
5921;big data
19864;data querying
12752;processing
19086;data storage
12057;data querying
11241;mathematical model
9643;TCP/IP
4865;processing
17548;data management
13649;data querying
9012;data storage
104;data storage
1345;data
24;ROM
16009;processing
5598;star property
16452;indexing
16999;data storage
13366;data management
12445;model simple security condition
159;data storage
18513;data querying
11049;security policy
19638;indexing
15203;data storage
17661;data modeling
2281;Hardware
6026;big data
4708;security policy
17678;processing
4457;RAM
11416;Hardware
14961;data
5322;data
5553;Software
15078;data storage
2855;trusted subject
1610;TCP/IP
349;mathematical model
15346;processing
1050;data querying
2713;indexing
18925;data storage
9024;security policy
11425;model simple security condition
18507;data querying
290;asterisk-property
7675;secure computer system
3089;Software
5359;secure computer system
4563;Software
4009;Hardware
18585;data storage
802;data storage
4648;secure computer system
683;indexing
11942;data storage
16937;data querying
14381;data modeling
13467;data modeling
6935;data
13009;data modeling
11170;RAM
990;data modeling
14589;data modeling
17748;data management
11876;data modeling
14381;data storage
13031;processing
19742;data
13404;indexing
7890;processing
6685;asterisk-property
9926;mathematical model
9197;big data
3357;data modeling
16121;big data
9106;indexing
18299;data querying
15170;data querying
5596;data management
6374;trusted subject
4775;security policy
8904;asterisk-property
12249;star property
10575;big data
1679;asterisk-property
19360;processing
14712;indexing
7419;security
6992;Hardware
5881;TCP/IP
2736;data management
12173;data modeling
18882;data querying
15342;data management
6452;data management
527;data querying
9683;data management
997;TCP/IP
1914;Software
14406;processing
14427;data management
18367;big data
12145;data management
2502;data
4696;model simple security condition
5820;data storage
2437;processing
13515;data modeling
625;ROM
18514;data
4943;big data
2141;secure computer system
15054;processing
1515;data modeling
12774;mathematical model
5621;secure computer system
13169;processing
4777;indexing
