Temporally Extended Metrics for Markov Decision Processes.,SafeAI@AAAI
Attacks on Machine Learning - Lurking Danger for Accountability.,SafeAI@AAAI
Requirements Assurance in Machine Learning.,SafeAI@AAAI
Emergence of Addictive Behaviors in Reinforcement Learning Agents.,SafeAI@AAAI
Clustering Player Strategies from Variable-Length Game Logs in Dominion.,KEG@AAAI
Discretization of Game Space by Environment Attributes.,KEG@AAAI
Intuitive Rules Design Evaluation Methods and Case Study.,KEG@AAAI
Strategic Features for General Games.,KEG@AAAI
Detecting Backdoor Attacks on Deep Neural Networks by Activation Clustering.,SafeAI@AAAI
Safe Temporal Planning for Urban Driving.,SafeAI@AAAI
Impossibility and Uncertainty Theorems in AI Value Alignment (or why your AGI should not have a utility function).,SafeAI@AAAI
Surveying Safety-relevant AI Characteristics.,SafeAI@AAAI
Towards Robust End-to-End Alignment.,SafeAI@AAAI
Extracting CCGs for Plan Recognition in RTS Games.,KEG@AAAI
How Many Operational Design Domains, Objects, and Events?,SafeAI@AAAI
AutoMPC - Efficient Multi-Party Computation for Secure and Privacy-Preserving Cooperative Control of Connected Autonomous Vehicles.,SafeAI@AAAI
GenerationMania - Learning to Semantically Choreograph.,KEG@AAAI
DPATCH - An Adversarial Patch Attack on Object Detectors.,SafeAI@AAAI
Robust Motion Planning and Safety Benchmarking in Human Workspaces.,SafeAI@AAAI
Kwiri - What, When, Where and Who - Everything You Ever Wanted to Know About Your Game But Didn&apos;t Know How to Ask.,KEG@AAAI
Monitoring Safety of Autonomous Vehicles with Crash Prediction Networks.,SafeAI@AAAI
Security-preserving Support Vector Machine with Fully Homomorphic Encryption.,SafeAI@AAAI
Unsupervised Methods For Subgoal Discovery During Intrinsic Motivation in Model-Free Hierarchical Reinforcement Learning.,KEG@AAAI
Enter the Matrix - Safely Interruptible Autonomous Systems via Virtualization.,SafeAI@AAAI
Towards international standards for evaluating machine learning.,SafeAI@AAAI
Minimizing the Negative Side Effects of Planning with Reduced Models.,SafeAI@AAAI
Integrative Biological Simulation, Neuropsychology, and AI Safety.,SafeAI@AAAI
Counterfactual Explanations of Machine Learning Predictions - Opportunities and Challenges for AI Safety.,SafeAI@AAAI
Exploring EPCG in The Witness.,KEG@AAAI
Extracting Policies from Replays to Improve MCTS in Real Time Strategy Games.,KEG@AAAI
Bamboo - Ball-Shape Data Augmentation Against Adversarial Attacks from All Directions.,SafeAI@AAAI
Linking Artificial Intelligence Principles.,SafeAI@AAAI
Taking the Scenic Route - Automatic Exploration for Videogames.,KEG@AAAI
Artificial Pain - Empathy, Morality, and Ethics as a Developmental Process of Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Phenomenal Experience and the Perceptual Binding State.,AAAI Spring Symposium - Towards Conscious AI Systems
Arousal and Awareness in a Humanoid Robot.,AAAI Spring Symposium - Towards Conscious AI Systems
Artificial Agency Requires Attention - The Case of Intentional Action.,AAAI Spring Symposium - Towards Conscious AI Systems
AI Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Introducing Λ for Measuring Cognitive Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Self-Awareness Implied in Human and Robot Intentional Action.,AAAI Spring Symposium - Towards Conscious AI Systems
Grounded Metacognitive Architectures For Machine Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Why Artificial Consciousness Matters.,AAAI Spring Symposium - Towards Conscious AI Systems
Conscious Enactive Computation.,AAAI Spring Symposium - Towards Conscious AI Systems
Reconsidering the &quot;Artificial, &quot; the &quot;Intelligent, &quot; and the &quot;Conscious&quot; in Artificial Intelligence and Machine Consciousness through American Pragmatism.,AAAI Spring Symposium - Towards Conscious AI Systems
Strong and Weak AI - Deweyan Considerations.,AAAI Spring Symposium - Towards Conscious AI Systems
Four Preconditions for Solving MC4 Machine Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Towards a Computable &amp; Harnessable Model of Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
No Brainer - Why Consciousness is Neither a Necessary nor Sufficient Condition for AI Ethics.,AAAI Spring Symposium - Towards Conscious AI Systems
Can a Virtual Entity Support Real Consciousness, and How Might This Lead to Conscious Robots?,AAAI Spring Symposium - Towards Conscious AI Systems
Using Tononi Phi to Measure Consciousness of a Cognitive System While Reading and Conversing.,AAAI Spring Symposium - Towards Conscious AI Systems
Inferring and Conveying Intentionality - Beyond Numerical Rewards to Logical Intentions.,AAAI Spring Symposium - Towards Conscious AI Systems
Independent Core Observer Model (ICOM) Theory of Consciousness as Implemented in the ICOM Cognitive Architecture and the Associated Consciousness Measures.,AAAI Spring Symposium - Towards Conscious AI Systems
A Conscious AI System Based on Recurrent Neural Networks Applying Dynamic Information Equilibrium.,AAAI Spring Symposium - Towards Conscious AI Systems
A Neurobiologically Inspired Plan Towards Cognitive Machines.,AAAI Spring Symposium - Towards Conscious AI Systems
Homeostatically Motivated Intelligence for Feeling Machines.,AAAI Spring Symposium - Towards Conscious AI Systems
A Physicalist Causally Oriented Foundation For a Conscious Machine Based on the Spread Mind.,AAAI Spring Symposium - Towards Conscious AI Systems
Time and (Un)conscious Processes - Predictive Anticipatory Activity and Potential Applications.,AAAI Spring Symposium - Towards Conscious AI Systems
Dynamical Emergence of Phenomenal Consciousness - an Outline of a Theory.,AAAI Spring Symposium - Towards Conscious AI Systems
Disorders of Artificial Awareness.,AAAI Spring Symposium - Towards Conscious AI Systems
Operationalizing Consciousness.,AAAI Spring Symposium - Towards Conscious AI Systems
Inner Speech for a Self-Conscious Robot.,AAAI Spring Symposium - Towards Conscious AI Systems
Grounding Concepts as Emerging Clusters in Multiple Conceptual Spaces.,AAAI Spring Symposium - Towards Conscious AI Systems
Evolution of Conscious AI in the Hive - Outline of a Rationale and Framework for Study.,AAAI Spring Symposium - Towards Conscious AI Systems
Consciousness and Understanding in Autonomous Systems.,AAAI Spring Symposium - Towards Conscious AI Systems
To Build Conscious Machines, Focus on General Intelligence - A Framework for the Assessment of Consciousness in Biological and Artificial Systems.,AAAI Spring Symposium - Towards Conscious AI Systems
The Role of Consciousness and Artificial Phronēsis in AI Ethical Reasoning.,AAAI Spring Symposium - Towards Conscious AI Systems
Accounting for the Minimal Self and the Narrative Self - Robotics Experiments Using Predictive Coding.,AAAI Spring Symposium - Towards Conscious AI Systems
Consciousness as Observed Capability - A Triggered Perception Detectable in Behavior.,AAAI Spring Symposium - Towards Conscious AI Systems
A Collective Intelligence Research Platform for Cultivating Benevolent &quot;Seed&quot; Artificial Intelligences.,AAAI Spring Symposium - Towards Conscious AI Systems
