:START_ID(Edition);:END_ID(City)
IEEEscc2;Amsterdam
bildmed1;Stockholm
3dor3;Berlin
3dor2;Hamburg
analco1;Manchester
3dor7;Madrid
3dor6;Amsterdam
3dor5;Barcelona
3dor4;Paris
innovations1;Manchester
3dic6;Barcelona
3dic7;London
3dic4;Hamburg
3dic5;Madrid
enter1;Brussels
ctrsa1;Copenhagen
ACISicis3;Manchester
ACISicis2;Paris
ACISicis5;Rome
ACISicis4;Berlin
ACISicis7;Stockholm
ACISicis6;Rome
ACMse7;London
ACMse6;Brussels
ACMse3;Lisbon
cpp1;Paris
IEEEpact2;Rome
f-egc1;Manchester
3dica4;Berlin
3dica5;Manchester
3dica6;Rome
3dica7;Madrid
automation1;Amsterdam
IEEEants6;Manchester
ctic1;Berlin
3dtv3;Stockholm
3dtv4;Barcelona
3dtv5;Stockholm
3dtv6;Paris
3dtv7;Hamburg
ACMace5;Madrid
ACMace4;London
ACMace7;Hamburg
ACMace6;Berlin
ACMace3;London
IEEEares2;Manchester
IEEEares3;Manchester
IEEEicci2;Rome
IEEEares6;Paris
IEEEares7;Barcelona
IEEEares4;Berlin
IEEEares5;Amsterdam
Dstep6;Rome
IEEEcloud2;Manchester
icla1;Copenhagen
icdcit1;Lisbon
hm1;Lisbon
hpcasia1;Amsterdam
5gwf2;London
ACMdis6;Brussels
ACMdis4;Madrid
ACMdis2;Rome
ACMdis3;Copenhagen
caldam1;Berlin
aspdac1;Amsterdam
3pgcic3;Paris
3pgcic6;Barcelona
3pgcic7;Copenhagen
3pgcic4;Copenhagen
3pgcic5;Copenhagen
5gwn3;Lisbon
acsw1;Amsterdam
icdcn1;Hamburg
alenex1;Brussels
cc1;London
cidr1;Copenhagen
ACMicec7;Manchester
ACMicec6;Hamburg
ACMicec5;Amsterdam
ACMicec4;Paris
3dui3;Copenhagen
3dui4;Lisbon
3dui5;Rome
3dui6;Brussels
3dui7;Rome
IEEEants7;Madrid
cep1;Barcelona
IEEEants5;Barcelona
IEEEants4;Madrid
IEEEants3;Barcelona
3dim2;Lisbon
3dim3;Rome
3dim4;Rome
3dim5;Brussels
3dim6;Paris
3dim7;Manchester
ace1;Stockholm
aaai1;Manchester
aaaiss1;Copenhagen
5gu6;Stockholm
comad1;Barcelona
IEEEcca5;Brussels
IEEEcca7;Barcelona
