name:ID(Author)
Josip Lorincz
Simon Solotko
Shuangshuang Fu
Guangwu Xu
Mohammad Roohitavaf
Aravindh Raman
Mogens Jacobsen
Lingrong Li
Beomjin Hong
Paramita Dey
Peng Liu
Huan Zhang
Qing-Chang Zhong
Rui Li
Detlef Scholle
Maziar Babaei
Hiroshi Ohtake
Elena Jurado
Marek Stencel
Peter J. Sterk
Paul Freemont
Dongqing Xie
Pekka Pirinen
Yan Jin
Rui Zhong
Aldo Sorniotti
Chris Hudson
Yicheng Chen 0002
Hoang Hiep Nguyen
Myung Don Kim
Jukka Lempiäinen
Shi-Cho Cha
Manel Velasco
Pei-Yun Sabrina Hsueh
Meraj Mustafa
Jiandong Wang
Uqba Saeed Ahmad
Gaochao Xu
Roch H. Glitho
Kaushik R. Chowdhury
Augustine Ikpehai
Kathryn E. Merrick
Qingyang Guan
Cian-Yi Wu
Jean-Pierre Rostaing
Marco Abbatangelo
Congpei An
Miguel-Ángel Manso-Callejo
Ayesha Hussain Khan
Damián R. Fernández
Atsuki Hidaka
Emmanuel Agu
Valerio Selis
Gongliu Yang
Yunho Han
Guozhen Tan
Michael Maurer
Yizhen Wu
Hyukdoo Choi
Zhenming Lei
Raghu M. Rao
Hyo Ryeol Lee
Zi-Jun Jia
Daniel Zurita Millan
Helena Strömberg
Lena Carcreff
Xiaoyu Liu
Giovanni Acampora
Tomoyuki Shimono
Davies William de Lima Monteiro
John F. Fennell
Fátima Fernández
Kandarpa Kumar Sarma
Scott R. Klemmer
Luís Ducla Soares
Li Liang
Jordan Wilson
Willibald Reitmeier
Daniel Gracia-Perez
Mohammad H. Bitarafan
Sang-Woo Kang
Aixiang He
Juan J. Álvarez-Millán
Muneeb Imtiaz Ahmad
Frédéric Alicalapa
Francesco Ferracuti
Bob Loos
Andries J. Grobler
Petar R. Matic
Fabiana Arduini
Jose-Luis Poza-Luján
Guang-Je Tsai
Heiko Zimmermann
Yongchun Fang
Ghulam Mujtaba Shaikh
Feng Qiu
Roberta Scarparo
Shu-Tao Xia
Tim C. Lueth
Marc Christopher Wurz
Tiziana Campana
Czeslaw T. Kowalski
Stephan Faßbender
Sang Jun Kim
Juan Carlos Vasquez
He Dong
Ahmed H. Hassan
He Li 0001
Thorsten Wuest
Dae-Yong Kwon
Xiaoming Sun
Evangelos Papatheou
Iza Husna Mohamad Hashim
Fadi Al-Turjman
Yiming Miao
Bertrand Massot
Wei Wang 0128
Mostafa Arastounia
Robert Williger
Allan Martin
Saad Rehman
Blas Bogado
Guimin Huang
Chin-Cheng Wu
Kelly Sherbondy
Ziwen Guo
Hongjun Li
Hong Zhang 0013
Jianqing Wang
Roberto Pirrone
John Paul Walters
Damien Mariotto
Hossein Dehghani Tafti
Patrick Kuo-Peng
Sergei I. Trofimchuk
Joao F. Justo
Roberto Fernandez Molanes
Muhammad Ramlee Kamarudin
Chunxue Wu
Yanfeng Zhang
Randy Widialaksono
He Yan
Chinmay Jain
Olga Angelopoulou
Yanguang Yu
Subhas Barman
Xiao Shen
Jian-Hui Ye
Hamidreza Moradi
Chengze Li
Mohamed Abid
Christopher J. Newman
Mahdi Azmandian
Amitangshu Pal
Markus Springer
Ali Madady
Masaya Yasuda
Daniele Zonta
Dapeng Chen
Boris M. Miller
Horacio Rostro-González
Lingyun Zhou
Ebrahim Farjah
Wooi Boon Goh
Haibo Hu
E. Rolland
Pingping Huang
Satoshi Fukushima
Farouk Grine
Chin-Chi Cheng
Jianshe Song
José A. Gazquez Parra
Huiqun Zhao
Tsu-Hsi Chang
Simon Pukrop
Agustín R. González-Elipe
Seong-Lyun Kim
Sophie Cowie
Riccardo Diamanti
Guangxian Zhang
Bo Yuan 0004
Jesús Acero
Tarek R. Besold
Alessandro Fook
Yangyang Li
Vivek Sarkar
Colin Fitzpatrick
Jie Zhang 0032
Hugo Santos
Abdelkrim Benali
Michal Dziendzikowski
Khalid El-Darymli
Soon Xin Ng
M. Tahmid Ekram
Lara del Val Puente
Maciej Kurc
Yi Liu 0001
Ernesto Fábregas
Chuanyun Xu
Rafael Pérez-Ocón
Sumit Roy
Yue Zhao
Ming-Yu Liu
Jose A. Sanchez-Espigares
Dehua Zhu
Muzammil Jusoh
Marco Carli
Wolfgang Stürzlinger
Gaopeng Guo
Gerard B. Essink
Zhilin Qiao
Wei Zhang 0072
Juan C. Álvarez
Nathali Silva
Gongmin Yan
Johannes Hillmann
Emma Rapp
Sheng Ge
Aitor Álvarez
Rachel Jeungeun Song
Xiuqiang He
Alessandro Pisano
Khiang Zarchi Htun
Lara Orlandic
Wu Xun
Junqing Li
Willem Heijtljes
Jinwook Kim
Gregory W. Bishop
Fang Fang
Gerardo Vega
Rikke Gade
Ssu-Wei Tang
Siliang Du
Donghyun Beck
Chandra Prakash Gupta
Partha Modak
Wei Peng
Wencong Su
Yangjun Wang
Justin Patton
Huifang Kong
B. H. Bradshaw-Hajek
Nele De Schepper
Janne Heikkinen
Ricardo Lizana
Rendan Shi
Robert Harrison
Gobindbir Singh
Thomas Höll
Weimin Wang 0008
Robert Daily
Kwame Oteng Gyasi
I-Wei Lai
Andreea-Cristina Petre
Jianhong Xu
Keehong Seo
Brian Bullecks
Didier Macheboeuf
Rajeev Bajaj
Maria Garcia-Fernandez
Abdelrazik Sebak
Sumitava Ghosh
Robert E. Mahony
Aniket Deshpande
Maryam A. Al-Othman
Gong-You Tang
Cheng-gang Wang
Huaxin Wei
Ruzena Bajcsy
Ramón Hervás
Axel Pinz
Subramanian Ramasamy
Benjamin Delaware
Zhe Sun
Pradyumna S. Singh
Faiq Khalid
Aidan Mooney
Armin Grünewald
Martin D. Baaske
Zafer Ziya Öztürk
Genda Chen
F. Casset
Md Masud Rana 0002
Shaopeng Liu
Benjamín Bustos
Gheorghe Zaharia
Xuetao Zhao
Hiroshi G. Okuno
