:START_ID(Article)	:END_ID(Article)
772	13479
42	11341
2011	14739
8949	15370
14805	4905
14707	19378
18888	11063
13606	12080
15760	8385
3592	14598
19854	4078
2712	14353
18931	16337
10836	882
4571	366
6184	7378
14602	11186
14240	16247
4297	17658
17410	16263
15782	8051
4390	8737
11095	8232
13850	288
17267	15508
10745	9304
951	13787
5168	12398
17607	15814
851	17650
6071	9974
5264	13778
15923	7816
4078	263
13574	16658
15936	4629
10554	13935
18101	11954
2930	15201
13711	11273
17460	14041
16276	11700
1087	6902
3075	16745
8583	19675
19894	4330
16078	4923
18263	5729
11546	17320
145	19651
9430	86
8276	17675
2175	6415
15884	15651
4613	10593
2875	4928
8755	7827
11042	18788
142	18775
19703	7835
19242	6827
17845	4959
15940	10352
1605	1566
16156	16071
5429	3091
12072	8947
698	5815
10715	9804
8223	14596
8548	18688
9879	8801
4757	7833
15225	15401
5932	17245
4658	12133
10477	19733
16535	19874
8760	19510
1377	462
6387	3927
17348	9303
9424	16437
9513	13211
15902	12124
15715	3562
3931	13575
8842	529
5174	2621
4466	15827
14147	2406
4192	854
19148	14663
8632	3022
9410	11838
12322	17155
4811	14051
4299	8132
107	17498
5079	17652
3874	1517
6013	4544
4154	17122
6873	19426
3996	3287
19507	16561
19902	12548
7133	18612
15466	10116
5049	9083
18602	6738
13482	19884
13453	19321
17792	18178
11083	3201
2831	13182
6167	19277
6425	11283
3809	16733
590	15279
1403	2744
741	11482
14205	13963
7720	8225
4799	18352
5006	8289
2941	2741
12804	6750
1971	15127
14445	17843
14815	4617
11198	11800
11073	6153
1873	19876
10899	16029
7378	2598
13893	4708
18708	7262
5074	8536
19354	4516
17064	14928
2275	6010
2748	3609
2084	11492
13126	17159
3977	3783
18360	5004
11667	15849
3138	19610
2630	14450
19164	3722
12133	6515
15206	148
17753	8041
17484	3050
8791	19616
1723	10829
11735	19181
11933	13282
12912	841
3433	15562
14273	10716
5064	10688
19639	11619
5365	8862
7846	11419
13325	3407
2010	5649
12540	19495
7761	14559
15245	6834
19630	2595
4135	27
35	11057
3545	5184
8955	4871
7793	8157
3054	15382
7841	3129
16363	118
1739	9905
614	15558
3916	18233
11151	11751
15884	9312
1488	889
7102	5120
12722	16995
14886	5966
12443	6698
13548	8546
7142	2433
7693	18311
78	245
18686	8944
5299	6928
8098	5054
1641	801
10354	3335
1328	19320
4755	6501
18208	14325
16847	15951
14947	1116
19711	19535
8656	14126
13724	14024
9641	18049
5739	15673
4647	19897
14999	15049
11541	14666
611	9926
19670	432
2009	16547
3513	1060
1912	19148
19035	3238
641	13800
499	6415
19386	6901
4151	2484
11478	13896
11993	11039
18510	18354
15215	7315
16233	6822
9429	8381
8563	3846
16638	143
3151	13741
595	5606
2395	19297
7125	16182
6981	7469
19903	8614
6143	8382
18742	14325
7843	4896
14709	3245
14241	16417
459	4981
5418	7712
1159	7435
12522	6584
10211	19800
4453	14342
18983	937
16615	11176
1677	14425
3170	1889
9446	15492
18889	17769
6758	18119
18549	7110
3382	17021
4180	6109
10977	15275
17278	8656
11878	15932
3041	11658
11252	18916
8389	3219
14470	2958
5921	7367
15593	4707
18855	8873
7645	7533
7101	302
2691	1694
13450	12188
15235	13755
18726	9866
2758	10356
10200	19155
14451	15780
12330	4241
3309	296
5991	17462
2013	1994
12758	5593
16110	3798
9031	8098
5913	5727
16921	14893
17627	15538
15087	1495
17286	28
5777	11844
3161	14881
995	3734
3219	18133
6398	5811
7167	11055
7798	109
19393	7781
16702	18906
18600	11335
2868	8102
6273	5619
1174	12245
12	13657
4234	14612
17079	1706
3020	11408
4649	3597
2217	9734
7366	7670
16062	3610
843	4150
7837	15686
15809	8145
19138	13029
119	10153
12654	18930
13991	4475
19374	11219
6145	5008
19906	14726
5975	13742
6667	17223
3995	2979
519	5225
3408	6936
4516	13481
9453	12505
517	4112
6519	18396
11278	11496
12612	13458
596	5122
3384	9161
17502	8365
7408	9795
24	1198
4263	3498
8757	14032
2627	18162
11259	17369
12652	2470
10865	11320
13787	12423
2947	11483
2883	3645
14979	5645
8773	14729
3105	6304
8908	13454
9018	8581
19106	18715
1081	2915
16840	19815
14356	18282
12329	2238
1728	6585
13272	17857
13020	18668
8785	7959
9943	6123
19781	3659
3185	7194
13334	17849
8457	17312
4058	12452
8473	13701
11578	3957
16224	1551
14846	3213
19675	7294
8790	15701
18471	9307
7811	13387
4300	13197
7186	15128
4565	1488
5919	2896
6281	13383
9472	2681
16569	558
11157	14837
305	8917
7854	2897
13365	5247
19725	14490
11768	7336
6088	8982
8213	10834
17428	8982
4127	16398
9337	10250
3204	17332
18524	8977
13518	4233
9150	7183
638	14190
12694	9351
4797	7535
16543	18327
10097	905
7235	8423
6959	16921
1514	17273
11719	1837
18814	3025
2272	11160
6053	18257
2601	8060
319	4849
6227	13875
4794	7848
10341	13277
15598	8629
19406	9015
12928	13323
15733	4636
8864	1834
2493	11303
6822	6411
11187	16360
1524	16764
3715	5135
8386	7535
4757	17363
4766	11270
6480	11920
11600	3366
2129	6148
3610	1379
6320	1179
15179	18983
7507	7836
10568	606
3641	11679
4855	12794
7317	13596
17959	870
3	9619
11659	2864
4443	206
1991	6377
13274	3241
2337	9611
2529	13763
5855	19018
17807	9893
11063	7479
3542	364
18031	19805
862	10717
1450	11923
5266	7380
6773	4803
18524	15302
8554	2832
10750	2449
7518	14222
2211	4057
13927	1708
4217	12243
3839	17723
4230	5152
10600	3524
4516	13048
9923	18813
9073	7626
16878	6579
9292	17231
1023	7172
7497	6384
17625	7661
5703	12552
3647	14959
8186	13707
4493	13255
3011	19295
11164	7362
17969	6161
12858	10374
13076	11328
12252	1678
6769	11780
2737	3646
4480	19599
16106	8831
9785	13917
5092	1693
197	13674
13949	7245
19785	8386
1872	6636
8860	5400
16948	18169
17642	12584
1166	10426
16171	9380
6146	8113
18798	12168
8401	2927
19625	19153
11133	6231
14064	12688
14506	8004
3037	14833
12806	15082
13418	18813
9382	13842
7284	18010
3857	4284
18006	2587
12249	8321
15665	13964
3295	9531
10198	1667
17713	14783
9109	18434
10406	17664
17778	4928
1385	14210
10180	9782
4641	14188
19267	13631
63	14494
231	4852
7326	18979
13739	290
1354	17395
18987	9337
13843	13333
12456	6943
14895	17998
16802	1030
11287	16545
14577	9906
11366	13280
15085	18279
17702	1655
9648	16401
10465	5241
4819	19811
9602	14386
8377	18772
16553	9252
12405	14927
17263	7227
15826	18091
825	8082
17220	19604
7422	11686
10020	2735
2869	6166
11418	7919
4889	6392
6482	5889
6801	16017
576	12797
807	10939
10438	6623
14547	16957
9357	4006
69	6845
6244	19398
8345	4444
4938	9167
6527	11069
18250	1783
1840	17812
14496	19637
2428	17112
19868	3022
9404	1166
15695	8197
6715	4530
19553	8836
7626	14611
1777	19346
12596	7570
15635	9804
2517	5422
14795	5536
2744	6714
7695	18825
8720	5930
15213	12436
14915	11778
6641	14612
18861	3134
1698	13701
8457	11478
13150	9575
12872	2517
11775	7894
6419	7277
14065	3521
3565	14065
10790	2633
19335	18563
6700	15277
9405	19672
7685	16434
516	10988
16250	1221
9432	17937
5986	6321
1772	847
11257	2683
10833	8936
5422	3580
541	13408
13518	3963
6060	8055
16716	5075
14139	19140
15099	9421
14736	2323
8968	6635
7942	10382
15886	18104
18712	12688
3275	10256
4770	11624
15179	437
6845	9990
14958	18589
14746	12031
16903	14715
18000	16970
6097	5298
10976	9327
1351	14502
13436	12366
19581	14789
6151	18271
1843	17166
2780	12001
925	9507
19276	11737
436	5107
3987	7304
4597	240
13336	13944
