:START_ID(Article)	:END_ID(Keyword)
2337	Software
5587	big data
10150	RAM
2774	model simple security condition
11737	data management
2197	data storage
13774	data management
9462	RAM
13128	processing
7931	data modeling
642	data modeling
869	data modeling
4806	ROM
10145	secure computer system
10543	ROM
13615	data management
12327	star property
15555	big data
16729	processing
18318	indexing
13307	data management
1802	indexing
7670	data
516	TCP/IP
8145	Hardware
8330	Software
14381	indexing
15748	data modeling
239	data
3647	data storage
9334	data storage
16344	processing
17725	data
5484	model simple security condition
3290	star property
12052	data storage
16726	data modeling
19197	processing
7909	mathematical model
1495	data modeling
1747	big data
2101	trusted subject
16479	data querying
11085	indexing
18014	data querying
9148	trusted subject
18106	big data
14706	big data
17641	data modeling
9702	ROM
10932	security policy
18761	data storage
16785	data querying
16944	data querying
15712	data storage
6310	ROM
12172	mathematical model
17487	data management
9537	processing
996	ROM
6802	Hardware
12147	indexing
1989	asterisk-property
9539	asterisk-property
9816	ROM
7289	indexing
14976	big data
94	trusted subject
18934	data querying
18403	processing
9229	indexing
10661	data management
7387	ROM
3272	Hardware
348	data
4928	security policy
5741	processing
19726	indexing
334	data management
7996	RAM
16596	indexing
19416	data storage
15135	processing
15974	big data
11612	processing
18210	data
6933	data querying
11739	trusted subject
3685	data storage
17855	indexing
5784	mathematical model
16320	processing
12553	TCP/IP
13583	data
14323	indexing
4835	indexing
5313	security
19620	data storage
6350	asterisk-property
17325	data storage
910	Software
3559	data modeling
18047	data querying
8319	star property
18229	indexing
3905	RAM
826	ROM
1689	data querying
6184	data storage
16796	data querying
14988	data modeling
18717	data modeling
15123	big data
854	data
4581	Software
15911	data storage
17412	data management
17186	data
7251	TCP/IP
1543	data querying
6621	data
7032	processing
2963	Hardware
1621	secure computer system
5045	indexing
4450	big data
322	mathematical model
16653	processing
2437	data management
9136	processing
13426	data management
13473	data management
15263	data
9421	big data
9888	Software
5393	big data
13475	indexing
14247	data
17161	indexing
634	trusted subject
2188	indexing
16261	big data
19539	indexing
19886	data
18032	big data
1213	data
14345	data storage
18544	data storage
18570	data modeling
14287	data querying
10458	secure computer system
13587	data storage
9838	secure computer system
6207	data querying
11933	mathematical model
10504	ROM
1122	data querying
13103	data management
15774	data storage
19626	indexing
16522	data management
7847	ROM
4468	TCP/IP
17285	big data
7945	Software
7211	data storage
9881	RAM
19214	data storage
18060	data
15251	big data
19836	data storage
10271	trusted subject
5788	RAM
18402	data management
9010	model simple security condition
7815	trusted subject
16086	data
15564	big data
2168	security
4015	security policy
5207	ROM
15661	data modeling
840	trusted subject
1676	Software
1824	Software
13792	data storage
16838	data
13841	data storage
1358	processing
3181	ROM
14887	big data
90	star property
3964	asterisk-property
18670	data
13904	indexing
13869	processing
15394	big data
8509	Hardware
2965	data modeling
15455	indexing
8268	ROM
1213	data management
10940	processing
14533	data querying
4456	data management
5910	security policy
4585	indexing
5315	model simple security condition
17835	processing
15491	data storage
17688	data storage
495	trusted subject
3155	asterisk-property
17363	data
16333	data querying
2254	big data
9362	model simple security condition
13148	indexing
16565	data storage
6200	data querying
17723	data
2367	star property
