:START_ID(Conference)	:END_ID(Edition)
IEEEpact	IEEEpact2
IEEEants	IEEEants6
IEEEants	IEEEants4
alenex	alenex1
ACMdis	ACMdis3
IEEEares	IEEEares7
Dstep	Dstep6
3dui	3dui3
3dic	3dic4
aaaiss	aaaiss1
ACISicis	ACISicis3
3dica	3dica6
3dica	3dica7
3dtv	3dtv5
5gwn	5gwn3
IEEEicci	IEEEicci2
IEEEares	IEEEares5
3dui	3dui4
comad	comad1
enter	enter1
3dor	3dor3
IEEEscc	IEEEscc2
ACMace	ACMace7
ACMicec	ACMicec5
f-egc	f-egc1
IEEEares	IEEEares2
icdcn	icdcn1
IEEEares	IEEEares3
3pgcic	3pgcic4
3dui	3dui5
icla	icla1
3dtv	3dtv3
cc	cc1
ACMdis	ACMdis4
ACISicis	ACISicis5
aspdac	aspdac1
innovations	innovations1
ACMse	ACMse3
IEEEares	IEEEares4
ACMse	ACMse6
3dim	3dim5
ACISicis	ACISicis4
3dim	3dim6
ACMdis	ACMdis6
IEEEcca	IEEEcca5
5gu	5gu6
hm	hm1
5gwf	5gwf2
ACMse	ACMse7
caldam	caldam1
3dor	3dor2
3dtv	3dtv4
3pgcic	3pgcic5
IEEEcca	IEEEcca7
acsw	acsw1
ACMace	ACMace4
ctic	ctic1
bildmed	bildmed1
3pgcic	3pgcic6
3dtv	3dtv6
IEEEants	IEEEants3
3dic	3dic6
ctrsa	ctrsa1
3dica	3dica4
automation	automation1
3pgcic	3pgcic3
ACMicec	ACMicec6
3dui	3dui7
analco	analco1
cpp	cpp1
3pgcic	3pgcic7
ace	ace1
IEEEares	IEEEares6
IEEEants	IEEEants5
3dim	3dim7
3dim	3dim2
cidr	cidr1
icdcit	icdcit1
3dic	3dic7
cep	cep1
3dor	3dor5
aaai	aaai1
ACISicis	ACISicis7
ACISicis	ACISicis2
ACISicis	ACISicis6
hpcasia	hpcasia1
ACMace	ACMace6
ACMdis	ACMdis2
ACMace	ACMace5
3dim	3dim3
3dic	3dic5
3dor	3dor6
3dor	3dor4
ACMace	ACMace3
3dor	3dor7
IEEEcloud	IEEEcloud2
3dtv	3dtv7
ACMicec	ACMicec4
3dim	3dim4
3dica	3dica5
ACMicec	ACMicec7
IEEEants	IEEEants7
3dui	3dui6
