:START_ID(Author)	:END_ID(Article)
Shuxia Jiang	1091
Vahid Behzadan	19116
Chi-Ning Chou	11725
Hao Luo 0003	17659
Yolande A. A. Strengers	2461
Mitsuhisa Sato	11312
Daniel Ramos	3457
Michelle Sergent	4221
Mohammed Ali Al-garadi	5263
Evangelos Vlachos	6909
Jianqing Wang	6327
Angelo Esposito	17523
Hidehiko Okubo	17991
Vincenzo Genovese	11033
Andreas Bulling	4214
Thanuja Sandanayake	3496
Jaeduk Han	1440
Oleg N. Granichin	1974
Ziyan Ju	7748
Jianan Jiang	15473
Bram de Jager	15727
Markus Nurminen	9256
Shengyan Zhang	12899
Sibylle B. Thies	5918
Minghui Zheng	971
Raehyun Kim	2738
Chuen-He Liou	2096
Kyohei Uemura	2463
Kenji Inose	7410
Linlin Jiang	16389
Bin Ran	3441
Dinarte Vasconcelos	6267
Jose J. Silva	8059
Rong Hao	13479
Xiaoyu Cui	19036
Thomas Plötz	2754
Yingzhi Kan	17364
Qufu Wei	1516
Luke J. Evans	2264
Kenneth Bogert	6410
Li-Ling Hung	11830
Roberto Prevete	12404
Jonathan Fournier	1624
Gregory Peter Le Sage	19492
Canqun Yang	10512
Stefania Campopiano	4853
Yanpei Liu	13888
Tristan West	8458
Gerardo M. E. Perillo	18074
Pornvitoo Rittinon	10654
Rui Ling	9324
Wenbin Luo	12856
Shuo Xiong	160
Todd A. Sasser	3172
Edoardo Dotti	7022
Federica Paci	8786
Jacek Dybala	19929
Abdella Battou	12517
Kevin Z. Y. Ang	13781
Ivan Marsic	3955
Jolanta Mizera-Pietraszko	4853
S. Srinivas	10434
Philippe Auxemery	15278
Aoi Harazaki	18192
Wentu Song	6284
Cong-Cong Xing	751
Yaohua Hu	7876
Stephan Renatus	8755
Yang Gu	10550
Hamid Reza Faragardi	12029
Jiang Yu	9014
Baochang Zhang	9840
Marko Radovic	11738
Bjoern Eskofier	19752
Priti Kumari	5748
Youdou Zheng	4917
Madhu Babu Sikha	17098
Long Chen 0001	6668
Rafael Vidal	2895
Hedieh Ranjbartabar	16466
Jan Hosek	8601
Sören Kallweit	4678
Sven Fielsch	1590
Yeachan Kim	8271
Andrey Apalkov	3839
Kaspar Jansen	9818
Changzheng Chen	14036
Kyuho Kim	483
Furong Li	8165
Mario Ferri de Collibus	7080
Maria Toeroe	6986
Junhong Ji	3332
Peter Jamieson	7079
Muhammad Iram Baig	12058
Manuel de Jesús Nandayapa Alfaro	12107
Keming Cheng	17226
Leila Aflatoony	13301
Mohamed Hammami	19816
Dehong Zhou	7649
Rasheed Hussain	6093
Didier Gabriel Vernay	7104
Ahmad Kakakhel	5112
Xuexian Geng	19029
Zhongze Gu	15593
Fahed Awad	15737
Andrea Bönsch	13988
Dewen Wu	15563
Javier Ibáñez Civera	7581
Qiang Li 0015	12137
Huy-Dung Han	17787
Laurent A. Francis	17877
Nuwantha Fernando	18501
Antonio Manuel Herrera	141
Helen Lewis	6181
Giordana Florimbi	7288
Tran Nhut Khai Hoan	9592
Jose-Luis Bayo-Monton	16352
Javier González Jiménez	10548
Troy C. Kohwalter	14985
Michael P. Polis	4351
Moneruzzaman Rana	7525
Jia-Chin Lin	5339
Dariusz Pryputniewicz	5090
Kouta Minamizawa	8885
Cheng-gang Wang	12444
Pramit Biswas	2367
Fujun Ma	4862
