:START_ID(Journal);:END_ID(Volume)
IEEE Signal Process. Mag.;32
Wireless Networks;21
IEEE Trans. Human-Machine Systems;45
IEEE Consumer Electronics Magazine;4
Appl. Algebra Eng. Commun. Comput.;27
IEEE Network;29
IEEE Trans. Wireless Communications;14
IEEE Trans. Consumer Electronics;61
Appl. Algebra Eng. Commun. Comput.;28
Applied Mathematics and Computation;264
Applied Mathematics and Computation;256
IEEE Access;7
Appl. Algebra Eng. Commun. Comput.;30
IEEE Trans. Industrial Informatics;11
IEEE/ACM Trans. Netw.;23
IEEE Internet of Things Journal;2
IEEE Signal Process. Lett.;22
Sensors;18
IEEE Communications Letters;19
IEEE Trans. Cogn. Comm. &amp; Networking;1
IEEE Trans. Information Theory;61
IEEE Internet Computing;19
Applied Mathematics and Computation;265
Applied Mathematics and Computation;255
IEEE Trans. VLSI Syst.;23
IEEE Trans. Automation Science and Engineering;12
Applied Mathematics and Computation;271
IEEE Access;6
IEEE Cloud Computing;2
IEEE Trans. Parallel Distrib. Syst.;26
IEEE Communications Surveys and Tutorials;17
Sensors;17
Applied Mathematics and Computation;262
Applied Mathematics and Computation;254
Applied Mathematics and Computation;270
IEEE Pervasive Computing;14
IEEE Access;5
Wireless Communications and Mobile Computing;15
IEEE Trans. Multimedia;17
IEEE Trans. Med. Imaging;34
IEEE Trans. Knowl. Data Eng.;27
Sensors;16
IEEE Computer;48
Applied Mathematics and Computation;253
IEEE Trans. on CAD of Integrated Circuits and Systems;34
IEEE Trans. Industrial Electronics;63
J. Network and Computer Applications;50
IEEE Wireless Commun. Letters;4
IEEE Trans. Services Computing;8
IEEE Access;4
Applied Mathematics and Computation;263
IEEE Trans. Circuits Syst. Video Techn.;25
IEEE Trans. Systems, Man, and Cybernetics - Systems;45
Applied Mathematics and Computation;268
IEEE Trans. Communications;63
Sensors;15
Applied Mathematics and Computation;252
IEEE Trans. Industrial Electronics;62
IEEE Trans. Dependable Sec. Comput.;12
Applied Mathematics and Computation;260
IEEE Access;3
IEEE/ACM Trans. Comput. Biology Bioinform.;12
IEEE Trans. Emerging Topics Comput.;3
Applied Mathematics and Computation;269
IEEE Trans. Network and Service Management;12
IEEE Trans. Industrial Electronics;65
Applied Mathematics and Computation;251
Appl. Algebra Eng. Commun. Comput.;29
Applied Mathematics and Computation;261
IEEE Trans. Signal Processing;63
Applied Mathematics and Computation;259
Comput. J.;58
Applied Mathematics and Computation;258
IEEE Trans. Information Forensics and Security;10
IEEE Trans. Comput. Social Systems;2
IET Information Security;9
IEEE Systems Journal;9
Applied Mathematics and Computation;266
IEEE Trans. Industrial Electronics;64
IEEE Trans. on Circuits and Systems;62-II
IEEE Journal on Selected Areas in Communications;33
IEEE Trans. Computers;64
Applied Mathematics and Computation;250
IET Communications;9
IEEE Trans. Aerospace and Electronic Systems;51
IEEE Trans. Intelligent Transportation Systems;16
IEEE Communications Magazine;53
IEEE Trans. Image Processing;24
IEEE Trans. Multi-Scale Computing Systems;1
IEEE Trans. Mob. Comput.;14
Applied Mathematics and Computation;267
IEEE Trans. Vehicular Technology;64
Applied Mathematics and Computation;257
IEEE Wireless Commun.;22
