:START_ID(Author);:END_ID(Articles)
Julio Benítez;14009
Zhidong Wang;7684
Miguel Holgado;5489
Quoc-Hoan Tran;18921
Robin Groschup;15301
Zhang Yue;604
Sebastian Kibler;12113
Nagarjun Surulivel;17751
Shahla Asadi;8450
Avinash Joshi;7972
Ewa Nowakowska;15345
Jun-ichi Takada;14015
Purim Ladpli;15606
Laura Cella;8754
Marija Jankovic;10767
Javad Mirzaei;3670
Yun-Zhan Cai;3472
Antonio Palucci;9182
Rixin Wang;1901
Zhenwei Cao;15059
Jorge Sá Silva;17737
Shan Zuo;820
Piotr Wisniowski;17273
Martin Mayfield;6877
Bin Chen 0013;8476
Xuehan Wang;16452
Na Du;16596
Chi Lin;17001
Stepan Sutula;15086
Jorge L. Chávez;14146
Mao-Lun Chiang;12192
Hodam Kim;9419
Qi Qu;1239
Fulin Luo;18383
Abderrahmane Sbihi;9326
Francisco Marcellán;213
Kyung Min Byun;19173
Qingmin Li;12522
Takahiro Nakayama;6071
Burhan Gulbahar;5305
Dong Yue;13274
Xiaowei Liu 0002;6616
Glenn Healey;18180
Sinué Ontiveros;12072
Yevgen Biletskiy;9939
Hadi Tarzamni;2512
Azadeh Vosoughi;10574
Gaoming Zhang;15249
Dongyun Kam;18469
Morteza Hosseini;17502
Mounir Boukadoum;17359
Lisa Bucci;11605
Juan Ramón Maestre;13705
Emna Chabchoub;6747
Itzik Klein;18135
Hai Jiang 0001;11478
Robert Liechty;11279
Philip Anthony;14028
Antonio Bueno;10754
Yubin Wang;2193
Gennadiy Semenov;8280
Zhichao Ding;18264
Lael U. Odhner;8800
Shuhai Quan;17380
Jie Chen 0021;17242
Jizhang Sang;3571
Long Jin;5117
Zhefeng Wu;5741
Panagiotis Demestichas;9695
Atif Iqbal;8988
Tieming Chen;15033
Fabrizio Balducci;14615
Hong Li;12086
Xiaomei Fu;18935
Xiao Liang 0012;2534
Wei Yang;8335
Baha Alzalg;8275
Hao-Hung Chai;1513
Yannan Jin;14082
Hemant Kumar Dashora;14990
Lucas Dias Hiera Sampaio;9281
Juan Luis Gamarra-Diezma;19553
Jianrong Bao;15654
Wei Yang 0001;12377
Seung Jean Kim;11676
Jitendra Solanki;6149
Zhongdi Cen;5022
Ibrahim Abunadi;5692
