:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Chang Heon Kim\u00F7No\u00F72
Namhun Koo\u00F7No\u00F72
Soonhak Kwon\u00F7No\u00F72
Yun Gao\u00F7Yes\u00F73
Jian Gao 0001\u00F7No\u00F73
Fang-Wei Fu\u00F7No\u00F73
Joris van der Hoeven\u00F7Yes\u00F74
Duc-Phong Le\u00F7Yes\u00F75
Nadia El Mrabet\u00F7No\u00F75
Safia Haloui\u00F7No\u00F75
Chik How Tan\u00F7No\u00F75
Fei Li 0010\u00F7Yes\u00F76
Yang Yan\u00F7No\u00F76
Qiuyan Wang\u00F7No\u00F76
Tongjiang Yan\u00F7No\u00F76
Ahmed Mameri\u00F7Yes\u00F77
Amar Aissani\u00F7No\u00F77
Xiaoqiang Wang\u00F7Yes\u00F78
Dabin Zheng\u00F7No\u00F78
Hongwei Liu\u00F7No\u00F78
Shanding Xu\u00F7Yes\u00F79
Xiwang Cao\u00F7No\u00F79
Guangkui Xu\u00F7No\u00F79
Chunming Tang\u00F7No\u00F79
Wenqin Zhang\u00F7Yes\u00F710
Haode Yan\u00F7No\u00F710
Honglei Wei\u00F7No\u00F710
Krzysztof Ziemianski\u00F7Yes\u00F711
Fatima Abdallah\u00F7Yes\u00F712
Shadi Basurra\u00F7No\u00F712
Mohamed Medhat Gaber\u00F7No\u00F712
Ayman S. Abdel-Khalik\u00F7Yes\u00F713
Ragi A. Hamdy\u00F7No\u00F713
Ahmed M. Massoud\u00F7No\u00F713
Shehab Ahmed\u00F7No\u00F713
Mahmoud E. Abdelgelil\u00F7Yes\u00F714
Hlaing Minn\u00F7No\u00F714
Ahmad N. Abdulfattah\u00F7Yes\u00F715
Charalampos C. Tsimenidis\u00F7No\u00F715
Bessam Z. Al-Jewad\u00F7No\u00F715
Alex Yakovlev\u00F7No\u00F715
Sarder Fakhrul Abedin\u00F7Yes\u00F716
Anupam Kumar Bairagi\u00F7No\u00F716
Md. Shirajum Munir\u00F7No\u00F716
Nguyen H. Tran\u00F7No\u00F716
Choong Seon Hong\u00F7No\u00F716
Khalid Abidi\u00F7Yes\u00F717
Ian Postlethwaite\u00F7No\u00F717
Yousef Ali Abohamra\u00F7Yes\u00F718
M. Reza Soleymani\u00F7No\u00F718
Yousef R. Shayan\u00F7No\u00F718
Menatalla Abououf\u00F7Yes\u00F719
Shakti Singh\u00F7No\u00F719
Hadi Otrok\u00F7No\u00F719
Rabeb Mizouni\u00F7No\u00F719
Anis Ouali\u00F7No\u00F719
Khalid Abualsaud\u00F7Yes\u00F720
Tarek M. Elfouly\u00F7No\u00F720
Tamer Khattab\u00F7No\u00F720
Elias Yaacoub\u00F7No\u00F720
Loay Sabry-Ismaïl\u00F7No\u00F720
Mohamed Hossam Ahmed\u00F7No\u00F720
Mohsen Guizani\u00F7No\u00F720
Hussein Abulkasim\u00F7Yes\u00F721
Hanan Alsuqaih\u00F7No\u00F721
Walaa Hamdan\u00F7No\u00F721
Safwat Hamad\u00F7No\u00F721
Ahmed Farouk\u00F7No\u00F721
Atefeh Mashatan\u00F7No\u00F721
Shohini Ghose\u00F7No\u00F721
Farah Adeeba\u00F7Yes\u00F722
Sarmad Hussain\u00F7No\u00F722
Nurudeen A. Adegoke\u00F7Yes\u00F723
Saddam Akber Abbasi\u00F7No\u00F723
Adam N. H. Smith\u00F7No\u00F723
Marti J. Anderson\u00F7No\u00F723
Matthew D. M. Pawley\u00F7No\u00F723
Tariq Ahamed Ahanger\u00F7Yes\u00F724
Abdullah Aljumah\u00F7No\u00F724
Masood Ahmad\u00F7Yes\u00F725
Abdul Hameed\u00F7No\u00F725
Ataul Aziz Ikram\u00F7No\u00F725
Ishtiaq Wahid\u00F7No\u00F725
Furkan Ahmad\u00F7Yes\u00F726
Asfar Ali Khan\u00F7No\u00F726
Qasim Khan\u00F7No\u00F726
M. D. Rashid Hussain\u00F7No\u00F726
Ashraf Bani Ahmad\u00F7Yes\u00F727
Chia Ai Ooi\u00F7No\u00F727
