IEEE Trans. Industrial Electronics,Ming Liu 0014
IEEE Trans. Industrial Electronics,Bilel Meziane
IEEE Access,Atish Pawar
Sensors,Chia-Yung Tseng
Sensors,Valerio Freschi
Sensors,Teresa Emery
IEEE Trans. Industrial Electronics,Yanjun Zhao
Sensors,Fernando Gómez-Bravo
Sensors,Ying Cai
IEEE Trans. Industrial Electronics,Vincenzo Maniscalco
Sensors,Mohammad Ershadul Karim
IEEE Trans. Industrial Electronics,Hiromu Sekiguchi
IEEE Access,Shuya Xi
IEEE Access,Isma Farah Siddiqui
Sensors,Fei Song 0001
IEEE Trans. Industrial Electronics,Abbas Dehghani Kiadehi
Sensors,Jevgenij Pavlov
Sensors,Lili Dong
IEEE Access,Jie Dong
IEEE Access,Hui Wang
IEEE Access,Te Ma
Sensors,Tolga Kaya
IEEE Access,Liang Chen 0007
IEEE Access,Wei-Hsin Yen
Sensors,Xiaobo Wang
IEEE Access,Rongfang Bie
IEEE Trans. Industrial Electronics,Maryam Saeedifard
IEEE Trans. Industrial Informatics,Manuel Cheminod
Sensors,Thomas H. Clausen
IEEE Access,Zheng Chu
IEEE Access,Lianwen Jin
Sensors,Pierre-André Farine
IEEE Trans. Industrial Electronics,Luis Antonio Amezquita-Brooks
Sensors,Arturo Ribagorda
Sensors,Wenchi Cheng
IEEE Access,Zhao Pei
IEEE Trans. Industrial Electronics,Stanislaw Pirog
IEEE Trans. Industrial Electronics,Jing Yuan 0004
IEEE Access,Jin Wu
Sensors,Huynh Van Luong
Sensors,Teemu Hakala
IEEE Journal on Selected Areas in Communications,Hercules Avramopoulos
IEEE Access,Jingjing Yang
Sensors,Congjie Yang
IEEE Access,Samer Moein
Sensors,Xingdong Liang
Sensors,Chunrong Peng
Sensors,Stefano Trapani
Sensors,Fu Liu
IEEE Access,Lijun Diao
Sensors,Suhaidi Shafie
Sensors,Meng Lv
Sensors,Calogero Cristodaro
Sensors,Lingyao Yu
IEEE Trans. Industrial Electronics,Ivan Zoric
Sensors,Christos P. Antonopoulos
Sensors,Thierry Bouwmans
Applied Mathematics and Computation,Gustavo Montero
Sensors,Changqin Huang
Sensors,Ekarat Rattagan
IEEE Access,Gaofeng Pan
IEEE Access,Dung Pham Van
IEEE Access,David W. Carrier
IEEE Access,Tao Lin
IEEE Access,Hiram Galeana-Zapién
Sensors,Ahmed Nait Aicha
IEEE Trans. Industrial Electronics,Yeng Chai Soh
IEEE Access,Yashar M. Aval
Sensors,Deying Li
Sensors,Artur Kurnyta
IEEE Trans. Industrial Electronics,Sébastien Carriere
IEEE Access,Donghoon Kim
Sensors,Huizilopoztli Luna-García
Sensors,Richard Jan Engel Jansen
Sensors,Kang-Yoon Lee
IEEE Access,Francisco M. Castro
Sensors,Adam Osseiran
IEEE Access,Angelos Antonopoulos
Sensors,Erika Guerreschi
IEEE Trans. Industrial Electronics,Mario J. Meco-Gutierrez
Sensors,Huiyang Ding
IEEE Trans. Industrial Electronics,Zhengyou He
Sensors,Ekaterina Kutafina
Sensors,Luis Jesús Manso
Sensors,WeiMin Chen
IEEE Access,Buket D. Barkana
Sensors,Michele Zorzi
IEEE Access,Lamia Al-Braheem
Sensors,Hongqiang Wang
Sensors,Primo Zingaretti
Sensors,Bin Deng
Sensors,Marco Aiello 0001
IEEE Access,Othman M.-K. Alsmadi
IEEE Trans. Industrial Electronics,Drago Dolinar
Sensors,Daniela Schönauer-Kamin
IEEE Trans. Industrial Electronics,Chris S. Edrington
IEEE Access,Lukai Xu
IEEE Access,Ligang He
IEEE Trans. Industrial Electronics,Morteza Karami
IEEE Access,Freddy Acosta Buenaño
IEEE Trans. Industrial Electronics,Soohee Han
IEEE Access,Carlo S. Regazzoni
Sensors,Seul-Gi Choi
Sensors,Francisco Prats Quilez
Sensors,Michael Neuman
IEEE Trans. Industrial Electronics,Imen Abdennadher
IEEE Trans. Industrial Electronics,Yu-Chen Liu
Sensors,Ran Bi
Sensors,Hyo Jin Kang
IEEE Trans. Industrial Electronics,Peng Xu 0006
IEEE Access,Y. H. Liu
IEEE Access,Jiyuan Chen
IEEE Access,Gangman Yi
Sensors,Yize Zhang
IEEE Trans. Industrial Electronics,Jitendra Solanki
Sensors,Mónica Ballesta
Sensors,Konstantinos I. Papadimitriou
IEEE Trans. Industrial Electronics,Yaonan Wang
IEEE Access,Surya Nepal
IEEE Access,Shiban K. Koul
Sensors,Sang Kyong Kim
Sensors,Shaoming Wei
IEEE Trans. Industrial Electronics,Yusheng Luo
IEEE Access,Gaojie Chen
Sensors,Yu Zhou
Sensors,Marcello Cirillo
IEEE Access,Zhifan Li
Sensors,Carsten Steiner
IEEE Access,João P. Vilela
IEEE Trans. Industrial Electronics,Seung Ho Hong
Applied Mathematics and Computation,Marcin Maciazek
IEEE Trans. Industrial Electronics,Tengfei Jiang
IEEE Access,Lin Li 0022
IEEE Access,Changcai Yang
Sensors,Brian M. Dincau
IEEE Trans. Industrial Electronics,Yuntian Xue
IEEE Access,André Anjos
IEEE Access,Jinseok Lee
IEEE Access,Xinghao Chen
IEEE Access,Xiaoyan Kui
IEEE Trans. Industrial Electronics,Yuan-Kang Wu
IEEE Access,Karim Benouaret
IEEE Access,Xiang Li 0008
IEEE Access,Shihe Long
IEEE Trans. Information Theory,Wei Hou
IEEE Trans. Services Computing,Yan Zhu 0010
IEEE Trans. Industrial Electronics,Fangyuan Hou
Sensors,Kevin Cook
IEEE Access,Mohamed S. Kheir
IEEE Access,Liyan Zhang
Sensors,Thomas B. Moeslund
Applied Mathematics and Computation,Khursheed J. Ansari
IEEE Access,Jinn-Tsong Tsai
Sensors,Hye Jin Lee
IEEE Access,Shaoshi Yang
Sensors,Qibin Huang
IEEE Access,Adi Makmal
IEEE Trans. Industrial Electronics,Marnix Tack
Sensors,Benjamin Mahns
IEEE Trans. Industrial Electronics,Domenico Striccoli
Sensors,Darnes Vilariño
Sensors,Marília Curado
IEEE Access,Yunxia Chen
Sensors,Olaf Ziemann
IEEE Access,Ran Liu
IEEE Access,Jérémy Robert
IEEE Access,Shunsuke Saruwatari
IEEE Access,Yanhong Zhao
IEEE Trans. Industrial Electronics,Peng Li 0006
Sensors,Ung-Mo Kim
IEEE Trans. Information Forensics and Security,Amir Sonee
IEEE Access,Dianxing Yang
IEEE Access,Chih-Chang Yu
Sensors,Justinas Gargasas
Sensors,Mingyao Liu
Sensors,Sara Bisshopp
IEEE Trans. Industrial Electronics,Jose Luis Monroy-Morales
IEEE Trans. Industrial Electronics,Masoud Arabi Chamali
IEEE Access,Francesco Girardi
IEEE Access,Ibrar Ahmad
IEEE Access,Jing Xiong
IEEE Trans. Industrial Electronics,Pierre Toussaint
Sensors,Kyu-Jin Cho
IEEE Access,Osama Alsaryrah
IEEE Trans. Industrial Electronics,Chao Shen 0003
Sensors,Mohd Nizam Husen
IEEE Trans. Communications,Suzhi Bi
